Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
Interstate Power and Light Company Pref Share,IPLPRC,"NEW YORK STOCK EXCHANGE, INC.",,27.50,,,,,,,0.06170308
InterTAN,ITN,"NEW YORK STOCK EXCHANGE, INC.",107721728.4,13.98,282552771,0.110448726,,0.101955839,0.084113557,1.549669223,0
InterXion Holding N.V.,INXN,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"IntraLinks Holdings, Inc.",IL,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Intrawest Corporation,IDR,"NEW YORK STOCK EXCHANGE, INC.",824963238.6,22.99,1101720894,0.306838918,0.047411925,,0.187192828,1.382007643,0.266763618
"Intrepid Potash, Inc.",IPI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Invacare Corporation,IVC,"NEW YORK STOCK EXCHANGE, INC.",753439540.8,46.26,1444544458,0.076172195,0.052745342,0.082068117,0.047727434,0.907534899,-0.318425089
InvenSense Inc,INVN,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Invesco Ltd.,IVZ,"NEW YORK STOCK EXCHANGE, INC.",3571267484,12.56,5090924729,0.072823771,-0.033136942,0.028418343,0.061109118,0.403406852,0.257275346
Invesco Mortgage Capital Inc,IVR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Investment Technology Group, Inc.",ITG,"NEW YORK STOCK EXCHANGE, INC.",370502190.1,20.00,838458400,0.05288624,0.046499992,0.096802329,0.031137758,0.377382558,0.771999883
Iomega Corporation,IOM,"NEW YORK STOCK EXCHANGE, INC.",102805841.8,5.54,285801065,-0.173086623,-0.196750934,-0.215739025,-0.213994239,1.164584971,-0.550541506
ION Geophysical Corporation,IO,"NEW YORK STOCK EXCHANGE, INC.",314509324.6,8.84,684928663,-0.0305399,-0.001131222,0.010167877,-0.040803203,0.426531632,-0.204751148
Ionics Inc.,ION,"NEW YORK STOCK EXCHANGE, INC.",554504706.6,43.34,986787960,0.008920455,-0.018689433,0.004732944,-0.025147218,0.483044416,0.014767027
"Iowa Telecommunications Services, Inc.",IWA,"NEW YORK STOCK EXCHANGE, INC.",275962093.5,21.57,412228864,,0.036624939,,,,-0.213041091
Ipalco Enterprises Inc,IPL,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
Ipsco,IPS,"NEW YORK STOCK EXCHANGE, INC.",1389636914,47.80,2377437204,0.162388119,0.097280334,0.250936306,0.147095511,1.245523898,0.7495367
Iron Mountain Inc,IRM,"NEW YORK STOCK EXCHANGE, INC.",1218572939,20.33,3944820056,0.04669103,0.0232896,0.126115332,-0.00546975,0.43794898,0.384716591
